Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
1;Sab;17-08-2024;18:30;Genoa;2.1;2–2;1.9;Inter;33.300;Stadio Comunale Luigi Ferraris;Ermanno Feliciani;https://fbref.com/it/partite/5dd9a8ae/Genoa-Internazionale-17-Agosto-2024-Serie-A
1;Sab;17-08-2024;18:30;Parma;1.7;1–1;0.7;Fiorentina;21.384;Stadio Ennio Tardini;Giovanni Ayroldi;https://fbref.com/it/partite/99186416/Parma-Fiorentina-17-Agosto-2024-Serie-A
1;Sab;17-08-2024;20:45;Milan;2.1;2–2;1.0;Torino;70.742;Stadio Giuseppe Meazza;Fabio Maresca;https://fbref.com/it/partite/6321e075/Milan-Torino-17-Agosto-2024-Serie-A
1;Sab;17-08-2024;20:45;Empoli;0.5;0–0;0.3;Monza;7.746;Stadio Carlo Castellani - Computer Gross...;Michael Fabbri;https://fbref.com/it/partite/e1942888/Empoli-Monza-17-Agosto-2024-Serie-A
1;Dom;18-08-2024;18:30;Hellas Verona;1.7;3–0;1.0;Napoli;20.027;Stadio Marc'Antonio Bentegodi;Matteo Marchetti;https://fbref.com/it/partite/6a1d7fbe/Hellas-Verona-Napoli-18-Agosto-2024-Serie-A
1;Dom;18-08-2024;18:30;Bologna;3.2;1–1;0.9;Udinese;26.418;Stadio Renato Dall'Ara;Maria Sole Ferrieri Caputi;https://fbref.com/it/partite/a538d1ae/Bologna-Udinese-18-Agosto-2024-Serie-A
1;Dom;18-08-2024;20:45;Cagliari;1.0;0–0;0.9;Roma;16.261;Unipol Domus;Livio Marinelli;https://fbref.com/it/partite/8314db9d/Cagliari-Roma-18-Agosto-2024-Serie-A
1;Dom;18-08-2024;20:45;Lazio;2.4;3–1;0.6;Venezia;42.000;Stadio Olimpico;Paride Tremolada;https://fbref.com/it/partite/8c25dfec/Lazio-Venezia-18-Agosto-2024-Serie-A
1;Lun;19-08-2024;18:30;Lecce;1.5;0–4;1.7;Atalanta;28.719;Stadio Comunale Ettore Giardiniero;Davide Massa;https://fbref.com/it/partite/5b248995/Lecce-Atalanta-19-Agosto-2024-Serie-A
1;Lun;19-08-2024;20:45;Juventus;1.2;3–0;0.2;Como;40.696;Allianz Stadium;Matteo Marcenaro;https://fbref.com/it/partite/888690a6/Juventus-Como-19-Agosto-2024-Serie-A
2;Sab;24-08-2024;18:30;Udinese;0.8;2–1;1.3;Lazio;21.636;Bluenergy Stadium;Daniele Doveri;https://fbref.com/it/partite/b6b8cabd/Udinese-Lazio-24-Agosto-2024-Serie-A
2;Sab;24-08-2024;18:30;Parma;1.7;2–1;1.9;Milan;21.808;Stadio Ennio Tardini;Juan Luca Sacchi;https://fbref.com/it/partite/d2885a35/Parma-Milan-24-Agosto-2024-Serie-A
2;Sab;24-08-2024;20:45;Inter;2.4;2–0;0.3;Lecce;70.921;Stadio Giuseppe Meazza;Davide Di Marco;https://fbref.com/it/partite/bf16fd3f/Internazionale-Lecce-24-Agosto-2024-Serie-A
2;Sab;24-08-2024;20:45;Monza;0.4;0–1;0.7;Genoa;10.394;U-Power Stadium;Maurizio Mariani;https://fbref.com/it/partite/d9489d1e/Monza-Genoa-24-Agosto-2024-Serie-A
2;Dom;25-08-2024;18:30;Torino;2.4;2–1;3.0;Atalanta;20.451;Stadio Olimpico Grande Torino;Antonio Rapuano;https://fbref.com/it/partite/324b2f87/Torino-Atalanta-25-Agosto-2024-Serie-A
2;Dom;25-08-2024;18:30;Fiorentina;0.9;0–0;0.6;Venezia;18.915;Stadio Artemio Franchi;Simone Sozza;https://fbref.com/it/partite/cab6fee7/Fiorentina-Venezia-25-Agosto-2024-Serie-A
2;Dom;25-08-2024;20:45;Roma;2.1;1–2;2.7;Empoli;67.517;Stadio Olimpico;Luca Zufferli;https://fbref.com/it/partite/31d64d59/Roma-Empoli-25-Agosto-2024-Serie-A
2;Dom;25-08-2024;20:45;Napoli;2.5;3–0;0.6;Bologna;45.000;Stadio Diego Armando Maradona;Luca Pairetto;https://fbref.com/it/partite/cd189339/Napoli-Bologna-25-Agosto-2024-Serie-A
2;Lun;26-08-2024;18:30;Cagliari;0.8;1–1;1.5;Como;16.365;Unipol Domus;Marco Di Bello;https://fbref.com/it/partite/0948742e/Cagliari-Como-26-Agosto-2024-Serie-A
