Giocatore;Posizione
James Abankwah;Dif
Saud Abdulhamid;Dif (T, right)
Oliver Abildgaard;Cen (CC-CD)
Tammy Abraham;Att
Tammy Abraham;Att
Federico Accornero;Cen
Francesco Acerbi;Dif (DC)
Che Adams;Att-Cen
Yacine Adli;Cen
Vasilije Adžić;Cen
Michel Aebischer;Cen (CC)
Honest Ahanor;Dif
Junior Ajayi;Att
Jean-Daniel Akpa-Akpro;Dif-Cen (CC-T, right)
David Akpan Ankeye;Att
Faride Alidou;Att
Pontus Almqvist;Att-Cen
Giorgio Altare;Dif (DC)
Sofyan Amrabat;Dif-Cen (CC-CD)
Angeliño;Dif-Cen (CD-T, left)
Lorenzo Anghelè;Att
Faustino Anjorin;Cen
Marko Arnautović;Att-Cen (TRQ-CE)
Kristjan Asllani;Cen (CC)
Arthur Atta;Cen
Emil Audero;Por
Tommaso Augello;Dif-Cen (T, left)
Carlos Augusto;Dif-Cen (T, left)
Yann Aurel Bisseck;Dif (DC, right)
Paulo Azzi;Dif-Att-Cen
Oussama El Azzouzi;Cen
Jacopo Bacci;Cen
Milan Badelj;Cen (TRQ-CC-CD)
Mitchel Bakker;Dif-Cen (T, left)
Tommaso Baldanzi;Cen
Keita Baldé;Att-Cen (CE)
Botond Balogh;Dif (DC)
Mario Balotelli;Att
Lameck Banda;Att-Cen
Daniel Bandeira;Cen
Mattia Bani;Dif (DC)
Antonín Barák;Cen (TRQ-CC)
Federico Barba;Dif (DC-T, left)
Nicolò Barella;Cen (CC-CD)
Davide Bartesaghi;Dif
Federico Baschirotto;Dif (DC)
Daniele Baselli;Cen (CC)
Alessandro Bastoni;Dif (DC, left)
Reda Belahyane;Cen
Reda Belahyane;Cen
Raoul Bellanova;Dif-Cen (CD, right)
Raoul Bellanova;Dif-Cen (CD, right)
Andrea Belotti;Att
Lucas Beltrán;Att-Cen
Adrian Benedyczak;Att-Cen
Ismaël Bennacer;Cen (CC-CD)
Medon Berisha;Att
Adrian Bernabe;Cen (CD)
Antoine Bernede;Cen (CC)
Sam Beukema;
Alessandro Bianco;
Alessandro Bianco;
Jaka Bijol;Dif-Cen (DC)
Philip Billing;Cen (TRQ-CC-CE)
Cristiano Biraghi;Dif-Cen (T-CE, left)
Cristiano Biraghi;Dif-Cen (T-CE, left)
Samuele Birindelli;Dif-Cen (T, right)
Bjarki Bjarkason;Cen
Emil Bohinen;Cen (CC)
Warren Bondo;Cen
Kevin Bonifazi;Dif (DC)
Ange-Yoan Bonny;Att
Edoardo Bove;Cen
Domagoj Bradarić;Dif-Cen (T, left)
Matthias Braunöder;Cen
Iker Bravo;Att
Gleison Bremer;Dif (DC)
Brenner;Att
Marco Brescianini;Cen
Arvid Brorsson;Dif-Cen
Tajon Buchanan;Dif-Cen
Alessandro Buongiorno;
Rareș-Cătălin Burnete;
Gianluca Busio;
Jean Butez;
Liberato Cacace;Dif-Cen (CD-T, left)
Davide Calabria;Dif-Cen (T, right)
Davide Calabria;Dif-Cen (T, right)
Luca Caldirola;Dif (DC, left)
Hakan Çalhanoğlu;Att-Cen (TRQ-CC)
Drissa Camara;Cen
Francesco Camarda;Att
Nicolò Cambiaghi;Att-Cen
Andrea Cambiaso;Dif-Cen (T-CE)
Thomas Campaniello;Att
Matteo Cancellieri;Att-Cen
Fali Candé;Dif (DC-T, left)
Antonio Candela;Dif-Cen
Gianluca Caprari;Att-Cen (TRQ, left)
Elia Caprile;Por
Elia Caprile;Por
Francesco Caputo;Att
Maxence Caqueret;Cen (CC-CD-CE)
Andrea Carboni;Dif (DC, left)
Franco Carboni;Cen
Marco Carnesecchi;Por
Cesare Casadei;Cen
Nicolò Casale;Dif (DC)
Nicolò Casale;Dif (DC)
Federico Cassa;Cen
Valentín Castellanos;Att
Santiago Castro;Att
Gaetano Castrovilli;Cen (CC)
Gaetano Castrovilli;Cen (CC)
Danilo Cataldi;Cen (CC)
Zeki Çelik;Dif-Cen (T, right)
Alberto Cerri;Att
Gabriel Charpentier;Att
Walid Cheddira;Att
Leandro Chichizola;Por
Samuel Chukwueze;Att-Cen (TRQ-CE, right)
Aaron Ciammaglichella;Cen
Alessandro Circati;Dif (DC, left)
Alphadjo Cissè;Cen
Patrick Ciurria;Dif-Att-Cen
Saúl Coco;Dif (DC)
Lorenzo Colombo;Att
Andrea Colpani;Att-Cen (TRQ)
Florinel Coman;Att-Cen (TRQ, left)
Pietro Comuzzo;Dif
Francisco Conceição;Att-Cen
Diego Coppola;Dif (DC)
Maxwel Cornet;Dif-Att-Cen (TRQ)
Joaquín Correa;Att-Cen (TRQ)
Alberto costa;Dif
Lassana Coulibaly;Att-Cen (CC-CD)
Woyo Coulibaly;Dif (T)
Bryan Cristante;Dif-Cen (CC-CD)
Domen Črnigoj;Cen (CC, right)
Juan Cuadrado;Dif-Att-Cen (TRQ-T-CE, right)
Patrick Cutrone;Att
Wylan Cyprien;
Danilo D'Ambrosio;
Lucas Da Cunha;Att-Cen
Samuel Dahl;Dif
Thijs Dallinga;Att
Maat Daniel Caprini;Att
Flavius Daniliuc;Dif (DC)
Danilo;Dif-Cen (DC-T, right)
Matteo Darmian;Dif-Cen (DC-T-CE, right)
Juan David Cabal;Dif
Keinan Davis;Att
Paweł Dawidowicz;Dif-Cen (DC-CD)
Charles De Ketelaere;Att-Cen (TRQ)
Mattia De Sciglio;Dif-Cen (T)
Lorenzo De Silvestri;Dif-Cen (CD-T, right)
Koni De Winter;Dif (DC)
Alessandro Deiola;Cen (CC-CD)
Enrico Del Prato;Dif-Cen (DC-T, right)
Fisayo Dele-Bashiru;Cen (TRQ)
Ali Dembélé;Dif
Michele Di Gregorio;Por
Giovanni Di Lorenzo;Dif-Cen (T, right)
Boulaye Dia;Att-Cen
Assane Diao;Att-Cen
Federico Dimarco;Dif-Cen (CE, left)
Berat Djimsiti;Dif-Cen (DC)
Dodô;Dif (T, right)
Benjamín Domínguez;Cen
Patrick Dorgu;Dif-Cen
Alberto Dossena;Dif (DC)
Issa Doumbia;Cen
Anastasios Douvikas;Att
Artem Dovbyk;Att
Ondrej Duda;Att-Cen (TRQ-CC)
Denzel Dumfries;Dif-Cen (T-CE, right)
Alfred Duncan;Cen (CC-CD-CE)
Paulo Dybala;Att-Cen (TRQ-CE)
Enzo Ebosse;Dif
Éderson;Cen (CC-CD)
Kingsley Ehizibue;Dif-Cen (T, right)
Jeff Ekhator;Att
Jurgen Ekkelenkamp;Cen (TRQ-CC)
Emmanuel Ekong;Att
Caleb Ekuban;Att-Cen (TRQ)
Mikael Ellertsson;Cen
Elif Elmas;Att-Cen (TRQ-CC)
Emerson;Dif-Cen (T, right)
Yannik Engelhardt;Cen (CC)
Martin Erlic;Dif (DC, right)
Sebastiano Esposito;Att-Cen
Nahuel Estévez;Cen (CD)
Giovanni Fabbian;Cen
Alieu Fadera;Att-Cen
Nicolò Fagioli;Cen
Nicolò Fagioli;Cen
Wladimiro Falcone;Por
Davide Faraoni;Dif-Cen (DC-CD-T, right)
Jacopo Fazzini;Cen
Mattia Felici;Dif-Cen
João Félix;Att-Cen
Lewis Ferguson;Cen (TRQ-CC-CD)
Daniel Fila;Att
Youssouf Fofana;Cen (CC-CD)
Michael Folorunsho;Att-Cen (TRQ)
Michael Folorunsho;Att-Cen (TRQ)
Omari Forson;Cen
Davide Frattesi;Cen (CC-CD-CE, right)
Morten Frendrup;Cen (CC)
Martin Frese;Dif-Cen (TRQ-T, left)
Remo Freuler;Cen (CC-CD)
Matteo Gabbia;Dif (DC)
Alessandro Gabrielloni;Att
Gianluca Gaetano;Att-Cen
Roberto Gagliardini;Cen (CC-CD)
Antonino Gallo;
Silvère Ganvoula M'Boussy;
Federico Gatti;
David de Gea;
Valentin Gendrey;Dif (T, right)
Daniele Ghilardi;Dif (DC)
Lautaro Gianetti;Dif (DC)
Samuel Gigot;Dif-Cen (DC-CD)
Mario Gila;Dif (DC)
Billy Gilmour;Cen (CC-CD)
Santiago Giménez;Att
Gvidas Gineitis;Cen
Ben Godfrey;Dif-Cen (DC-T)
Saba Goglichidze;Dif
Edoardo Goldaniga;Dif (DC, right)
Pierluigi Gollini;Por
Nicolás González;Att-Cen (TRQ)
Robin Gosens;Dif-Cen (CC-CD-T-CE, left)
Lucas Gourna-Douath;Cen (CD)
Alberto Grassi;Cen (CC-CD)
Mattéo Guendouzi;Cen (CC-CD-CE)
Frederic Guilbert;Dif-Cen (T, right)
Albert Guðmundsson;Att-Cen
Emmanuel Gyasi;Dif-Att-Cen
Christian Gytkjær;Att
Nicolas Haas;Cen (CD-CE)
Saad El Haddad;Cen
Antoine Hainaut;Cen
Mohamed Haj;Att
Ridgeciano Haps;Dif-Cen (T, left)
Abdou Harroui;Cen (CC)
Liam Henderson;Cen (CC-CD-CE)
Mario Hermoso;Dif (DC, left)
Theo Hernández;Dif (T, left)
Hernani;Cen (CC-CD-CE)
Isak Hien;Dif (DC)
Emil Holm;Dif-Cen
Mats Hummels;Dif (DC)
Elseid Hysaj;Dif (T)
Jay Idzes;Dif-Cen (DC)
Jonathan Ikone;Att-Cen (TRQ)
Jonathan Ikone;Att-Cen (TRQ)
Ivan Ilić;Cen (CC-CD, left)
Samuel Iling-Junior;Cen
Alessio Iovine;
Gustav Isaksen;Att-Cen
Ardian Ismajli;Dif (DC)
Armando Izzo;Dif (DC, right)
Fellipe Jack;Dif
Ali Jasim;Cen
Gaby Jean;Dif (DC)
Juan Jesus;Dif (DC-T, left)
Alejandro Jiménez;Dif
Þórir Jóhann Helgason;Cen
Jesse Joronen;Por
Luka Jović;Att
Mohamed Kaba;Cen
Christian Kabasele;Dif (DC)
Pierre Kalulu;Dif (DC, right)
Hassane Kamara;Dif-Cen (CD-T, left)
Yann Karamoh;Att-Cen
Jesper Karlsson;Att-Cen (TRQ, left)
Jesper Karlsson;Att-Cen (TRQ, left)
Jesper Karlström;Cen (CC-CD)
Lior Kasa;Cen
Grigoris Kastanos;Cen (CC)
Michael Kayode;Dif
Moise Kean;Att
Mandela Keita;Cen (CD)
Lloyd Kelly;Dif (DC-T, left)
Marc-Oliver Kempf;Dif (DC, left)
Kialonda;Dif
