Squadra;Partite Giocate;Tackle;Tackle Vinti;Tackle Difensivi Terzo;Tackle Centrocampo Terzo;Tackle Attacco Terzo;Tackle Sfida;Sfide;Sfide Perse;Blocchi;Intercettazioni;Disimpegni;Errori
Atalanta;33.0;520;313;216;236;68;248;451;203;312;255;557;14
Bologna;33.0;522;304;192;234;96;248;469;221;342;227;613;17
Cagliari;33.0;473;263;229;200;44;213;391;178;297;231;754;16
Como;33.0;591;369;270;228;93;265;518;253;304;239;687;16
Empoli;33.0;607;347;280;261;66;277;485;208;356;295;947;19
Fiorentina;33.0;467;278;236;165;66;226;441;215;309;236;790;16
Genoa;33.0;588;342;248;250;90;237;480;243;358;261;821;14
Hellas Verona;33.0;598;375;292;236;70;277;522;245;346;293;829;22
Inter;33.0;445;254;182;181;82;212;406;194;302;201;584;10
Juventus;33.0;528;304;236;218;74;234;419;185;356;173;547;25
Lazio;33.0;461;285;205;196;60;223;445;222;271;262;621;20
Lecce;33.0;575;341;286;231;58;268;521;253;357;252;843;24
Milan;33.0;480;304;212;195;73;207;409;202;247;204;573;19
Monza;33.0;491;272;258;182;51;239;445;206;346;269;741;32
Napoli;33.0;478;293;215;209;54;233;423;190;282;238;703;10
Parma;33.0;442;245;224;170;48;202;409;207;383;246;831;16
Roma;33.0;478;281;200;205;73;200;391;191;291;251;622;13
Torino;33.0;416;225;201;158;57;211;389;178;305;249;785;19
Udinese;33.0;495;308;247;190;58;246;449;203;340;269;767;25
Venezia;33.0;520;314;277;168;75;248;493;245;379;242;823;19
