Arbitro;Partite Arbitrate;Cartellini;Media Cartellini a partita
Alessandro Prontera;1;3;3.0
Andrea Colombo;14;55;3.9285714285714284
Antonio Giua;5;22;4.4
Antonio Rapuano;12;69;5.75
Daniele Chiffi;15;57;3.8
Daniele Doveri;15;34;2.2666666666666666
Daniele Perenzoni;1;4;4.0
Davide Di Marco;2;7;3.5
Davide Massa;16;73;4.5625
Ermanno Feliciani;9;22;2.4444444444444446
Fabio Maresca;5;23;4.6
Federico Dionisi;4;20;5.0
Federico La Penna;11;54;4.909090909090909
Francesco Cosso;2;11;5.5
Francesco Fourneau;10;43;4.3
Gianluca Aureliano;4;12;3.0
Gianluca Manganiello;15;52;3.466666666666667
Giovanni Ayroldi;10;72;7.2
Giuseppe Collu;6;22;3.6666666666666665
Juan Luca Sacchi;10;35;3.5
Kevin Bonacina;4;13;3.25
Livio Marinelli;14;50;3.5714285714285716
Luca Massimi;2;10;5.0
Luca Pairetto;12;67;5.583333333333333
Luca Zufferli;14;40;2.857142857142857
Marco Di Bello;13;37;2.8461538461538463
Marco Guida;8;33;4.125
Marco Piccinini;14;53;3.7857142857142856
Maria Sole Ferrieri Caputi;2;7;3.5
Matteo Marcenaro;7;39;5.571428571428571
Matteo Marchetti;11;46;4.181818181818182
Maurizio Mariani;17;69;4.0588235294117645
Michael Fabbri;15;65;4.333333333333333
Paride Tremolada;5;27;5.4
Rosario Abisso;10;41;4.1
Simone Sozza;15;60;4.0
