Casa;Trasferta;Giocatore;Minuti Giocati;Goal;Assist;Tiri;Tiri in Porta;Cartellini Gialli;Cartellini Rossi;Tocchi;Blocchi;xG_giocatore
Como;Empoli;Patrick Cutrone;55;0;0;1;0;0;0;20;0;0.0
Como;Empoli;Anastasios Douvikas;35;1;0;1;1;0;0;12;0;1.0
Como;Empoli;Assane Diao;90;0;0;1;0;0;0;46;1;0.0
Como;Empoli;Gabriel Strefezza;77;0;0;2;1;0;0;52;0;0.1
Como;Empoli;Jonathan Ikone;13;0;0;1;0;0;0;8;0;0.1
Como;Empoli;Maxence Caqueret;87;0;0;2;0;0;0;47;0;0.1
Como;Empoli;Alessandro Gabrielloni;3;0;0;1;1;0;0;1;0;0.0
Como;Empoli;Lucas Da Cunha;90;0;0;2;1;0;0;81;2;0.1
Como;Empoli;Sergi Roberto;45;0;0;0;0;1;0;37;1;0.0
Como;Empoli;Máximo Perrone;45;0;0;2;1;0;0;36;0;0.1
Como;Empoli;Alberto Moreno Pérez;55;0;0;1;0;0;0;44;0;0.0
Como;Empoli;Álex Valle;35;0;0;0;0;0;0;29;0;0.0
Como;Empoli;Marc-Oliver Kempf;90;0;0;0;0;0;0;85;1;0.0
Como;Empoli;Edoardo Goldaniga;90;0;0;2;0;1;0;84;0;0.3
Como;Empoli;Mërgim Vojvoda;90;0;1;0;0;0;0;92;0;0.0
Como;Empoli;Jean Butez;90;0;0;0;0;0;0;53;0;0.0
Como;Empoli;Christian Kouamé;90;1;0;6;3;0;0;29;0;1.5
Como;Empoli;Liberato Cacace;90;0;0;1;0;0;0;44;1;0.0
Como;Empoli;Sebastiano Esposito;69;0;0;2;0;0;0;24;0;0.1
Como;Empoli;Lorenzo Colombo;21;0;0;0;0;0;0;7;2;0.0
Como;Empoli;Liam Henderson;70;0;0;1;1;1;0;27;0;0.0
Como;Empoli;Jacopo Bacci;20;0;0;0;0;0;0;6;0;0.0
Como;Empoli;Alberto Grassi;90;0;0;1;0;1;0;27;1;0.0
Como;Empoli;Giuseppe Pezzella;90;0;1;0;0;1;0;30;0;0.0
Como;Empoli;Emmanuel Gyasi;85;0;0;1;0;1;0;30;0;0.2
Como;Empoli;Mattia De Sciglio;5;0;0;0;0;0;0;1;0;0.0
Como;Empoli;Mattia Viti;57;0;0;0;0;0;0;29;0;0.0
Como;Empoli;Jacopo Fazzini;32;0;0;0;0;0;1;13;0;0.0
Como;Empoli;Luca Marianucci;90;0;0;0;0;0;0;43;2;0.0
Como;Empoli;Saba Goglichidze;69;0;0;2;0;1;0;20;2;0.1
Como;Empoli;Ola Solbakken;21;0;0;0;0;0;0;2;0;0.0
Como;Empoli;Devis Vásquez;90;0;0;0;0;0;0;35;0;0.0
Venezia;Bologna;Daniel Fila;71;0;0;0;0;0;0;17;1;0.0
Venezia;Bologna;Christian Gytkjær;19;0;0;0;0;0;0;6;0;0.0
Venezia;Bologna;Gaetano Oristanio;66;0;0;0;0;0;0;17;1;0.0
Venezia;Bologna;John Yeboah;24;0;0;1;1;0;0;12;0;0.3
Venezia;Bologna;Kike Pérez;90;0;0;1;1;1;0;52;1;0.0
Venezia;Bologna;Gianluca Busio;88;0;0;1;0;0;0;44;3;0.0
Venezia;Bologna;Alfred Duncan;2;0;0;0;0;0;0;1;1;0.0
Venezia;Bologna;Issa Doumbia;66;0;0;0;0;0;0;24;1;0.0
Venezia;Bologna;Cheick Oumar Conde;24;0;0;0;0;1;0;9;0;0.0
Venezia;Bologna;Mikael Ellertsson;66;0;0;0;0;0;0;22;2;0.0
Venezia;Bologna;Ridgeciano Haps;24;0;0;0;0;0;0;13;0;0.0
Venezia;Bologna;Alessio Zerbin;90;0;0;2;1;1;0;58;5;0.4
Venezia;Bologna;Fali Candé;90;0;0;0;0;0;0;55;0;0.0
Venezia;Bologna;Jay Idzes;90;0;0;1;0;1;0;61;4;0.0
Venezia;Bologna;Joël Schingtienne;90;0;0;0;0;0;0;55;0;0.0
Venezia;Bologna;Ionuț Andrei Radu;90;0;0;0;0;0;0;45;0;0.0
Venezia;Bologna;Thijs Dallinga;81;0;0;1;0;0;0;32;1;0.1
Venezia;Bologna;Giovanni Fabbian;9;0;0;1;0;0;0;7;0;0.1
Venezia;Bologna;Nicolò Cambiaghi;65;0;1;0;0;0;0;31;3;0.0
Venezia;Bologna;Dan Ndoye;25;0;0;0;0;0;0;10;0;0.0
Venezia;Bologna;Riccardo Orsolini;81;1;0;5;4;0;0;54;0;0.2
Venezia;Bologna;Estanis;9;0;0;2;0;0;0;13;0;0.1
Venezia;Bologna;Jens Odgaard;90;0;0;2;0;0;0;39;1;0.1
Venezia;Bologna;Lewis Ferguson;90;0;0;1;0;0;0;57;0;0.0
Venezia;Bologna;Remo Freuler;73;0;0;0;0;0;0;61;1;0.0
Venezia;Bologna;Tommaso Pobega;17;0;0;0;0;0;0;12;0;0.0
Venezia;Bologna;Juan Miranda;90;0;0;0;0;0;0;79;0;0.0
Venezia;Bologna;Nicolò Casale;90;0;0;0;0;0;0;56;1;0.0
Venezia;Bologna;Sam Beukema;90;0;0;1;0;0;0;60;0;0.4
Venezia;Bologna;Davide Calabria;73;0;0;0;0;1;0;67;0;0.0
Venezia;Bologna;Emil Holm;17;0;0;0;0;0;0;14;1;0.0
Venezia;Bologna;Łukasz Skorupski;90;0;0;0;0;0;0;61;0;0.0
Juventus;Genoa;Dušan Vlahović;90;0;1;2;2;0;0;27;0;0.1
Juventus;Genoa;Kenan Yıldız;90;1;0;1;1;0;0;59;2;0.1
Juventus;Genoa;Teun Koopmeiners;65;0;0;1;0;0;0;31;1;0.0
Juventus;Genoa;Francisco Conceição;25;0;0;0;0;0;0;17;1;0.0
Juventus;Genoa;Khéphren Thuram;90;0;0;0;0;1;0;43;2;0.0
Juventus;Genoa;Manuel Locatelli;90;0;0;1;1;0;0;89;1;0.1
Juventus;Genoa;Weston McKennie;90;0;0;0;0;0;0;54;4;0.0
Juventus;Genoa;Nicolás González;81;0;0;1;0;0;0;49;0;0.0
Juventus;Genoa;Timothy Weah;9;0;0;1;1;1;0;5;0;0.3
Juventus;Genoa;Lloyd Kelly;90;0;0;0;0;0;0;68;2;0.0
Juventus;Genoa;Renato Veiga;90;0;0;1;0;0;0;56;1;0.2
Juventus;Genoa;Federico Gatti;26;0;0;0;0;0;0;17;0;0.0
Juventus;Genoa;Pierre Kalulu;64;0;0;1;1;0;0;38;0;0.0
Juventus;Genoa;Michele Di Gregorio;90;0;0;0;0;0;0;35;0;0.0
Juventus;Genoa;Andrea Pinamonti;70;0;0;1;0;0;0;29;0;0.1
Juventus;Genoa;Caleb Ekuban;20;0;0;0;0;0;0;4;0;0.0
Juventus;Genoa;Fabio Miretti;79;0;0;0;0;0;0;42;0;0.0
Juventus;Genoa;Morten Thorsby;11;0;0;0;0;0;0;9;0;0.0
Juventus;Genoa;Alessandro Zanoli;62;0;0;0;0;0;0;22;1;0.0
Juventus;Genoa;Lorenzo Venturino;28;0;0;1;0;0;0;18;0;0.0
