Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Aaron Ciammaglichella;Cen;Torino;;;;;;;;;;0.0
Aarón Caricol;Dif;Genoa;0.18382352941176472;0.0;1.1397058823529411;0.9191176470588236;0.5882352941176471;1.4705882352941178;4.301470588235294;0.6617647058823529;0.9558823529411765;27.2
Abdou Harroui;Cen.Att;Hellas Verona;0.19607843137254904;0.0;1.9607843137254903;0.5882352941176471;0.3921568627450981;1.1764705882352942;4.313725490196079;1.5686274509803924;1.3725490196078431;5.1
Adam Marušić;Dif;Lazio;0.04926108374384236;0.0;0.541871921182266;0.5911330049261083;0.689655172413793;0.8374384236453202;3.2019704433497536;1.2315270935960592;0.8866995073891625;20.3
Adam Masina;Dif;Torino;0.3012048192771084;0.0;1.0843373493975903;0.9036144578313252;1.1445783132530118;0.8433734939759036;3.8554216867469875;3.2530120481927707;1.0843373493975903;16.6
Adam Obert;Dif;Cagliari;0.3846153846153846;0.0;1.7307692307692306;0.673076923076923;1.7307692307692306;1.6346153846153846;5.0;2.3076923076923075;1.8269230769230769;10.4
Ademola Lookman;Att.Cen;Atalanta;0.21164021164021166;0.0;1.3227513227513228;0.8465608465608466;0.10582010582010583;0.6878306878306879;2.6984126984126986;0.5820105820105821;0.5820105820105821;18.9
Adrian Benedyczak;Att.Cen;Parma;0.0;0.0;1.3636363636363635;2.2727272727272725;0.0;0.0;1.3636363636363635;4.090909090909091;5.0;2.2
Adrian Bernabe;Cen;Parma;0.07299270072992702;0.0;0.5839416058394161;2.2627737226277373;0.43795620437956206;1.3138686131386863;4.37956204379562;0.29197080291970806;0.14598540145985403;13.7
Adrien Tameze;Cen.Dif;Torino;0.44776119402985076;0.0;1.044776119402985;0.5970149253731343;1.4925373134328357;0.29850746268656714;3.582089552238806;1.3432835820895521;1.1940298507462686;6.7
Alan Matturro;Dif;Genoa;0.20202020202020202;0.0;0.9090909090909091;0.5050505050505051;1.4141414141414141;0.6060606060606061;2.6262626262626263;1.6161616161616161;1.6161616161616161;9.9
Albert Guðmundsson;Cen.Att;Fiorentina;0.19607843137254904;0.0;0.9803921568627452;1.4705882352941178;0.5882352941176471;0.19607843137254904;3.7254901960784315;0.29411764705882354;0.9803921568627452;10.2
Alberto Andrea Paleari;Por;Torino;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0
Alberto Cerri;Att;Como;0.0;0.0;3.0;1.0;0.0;0.0;3.0;4.0;4.0;1.0
