Squadra;Tackle_per90;Tackle Vinti_per90;Tackle Difensivi Terzo_per90;Tackle Centrocampo Terzo_per90;Tackle Attacco Terzo_per90;Tackle Sfida_per90;Sfide_per90;Sfide Perse_per90;Blocchi_per90;Intercettazioni_per90;Disimpegni_per90;Errori_per90
Atalanta;15.8125;9.53125;6.53125;7.15625;2.125;7.5;13.625;6.125;9.46875;7.8125;16.8125;0.4375
Bologna;16.0;9.375;5.84375;7.25;2.90625;7.625;14.5;6.875;10.46875;6.8125;18.625;0.53125
Cagliari;14.53125;8.0625;7.125;6.0625;1.34375;6.59375;11.9375;5.34375;9.15625;7.0;23.1875;0.46875
Como;17.78125;11.15625;8.21875;6.71875;2.84375;8.0;15.71875;7.71875;9.3125;7.3125;20.21875;0.5
Empoli;18.5625;10.6875;8.53125;8.0625;1.96875;8.59375;15.0;6.40625;10.9375;8.78125;28.75;0.5625
Fiorentina;14.15625;8.375;7.09375;5.0625;2.0;6.75;13.25;6.5;9.375;7.25;23.0;0.5
Genoa;17.9375;10.5;7.375;7.75;2.8125;7.21875;14.6875;7.46875;10.96875;8.0625;24.84375;0.4375
Hellas Verona;17.90625;11.34375;8.65625;7.125;2.125;8.28125;15.8125;7.53125;10.59375;8.9375;25.09375;0.6875
Inter;13.375;7.625;5.53125;5.34375;2.5;6.4375;12.34375;5.90625;9.28125;6.125;16.9375;0.3125
Juventus;16.09375;9.1875;7.21875;6.65625;2.21875;7.1875;12.90625;5.71875;10.9375;5.34375;16.4375;0.75
Lazio;14.0625;8.65625;6.25;5.9375;1.875;6.8125;13.65625;6.84375;8.3125;8.0;18.625;0.59375
Lecce;17.5;10.34375;8.65625;7.0625;1.78125;8.125;15.84375;7.71875;10.84375;7.6875;25.71875;0.6875
Milan;14.5;9.21875;6.375;5.90625;2.21875;6.25;12.3125;6.0625;7.53125;6.21875;17.3125;0.5625
Monza;14.9375;8.3125;7.75;5.59375;1.59375;7.28125;13.59375;6.3125;10.375;8.09375;22.1875;0.9375
Napoli;14.71875;8.96875;6.65625;6.40625;1.65625;7.125;12.96875;5.84375;8.4375;7.3125;21.21875;0.3125
Parma;13.15625;7.28125;6.6875;4.96875;1.5;6.0625;12.28125;6.21875;11.375;7.34375;24.6875;0.5
Roma;14.625;8.65625;6.09375;6.28125;2.25;6.15625;11.9375;5.78125;8.71875;7.625;18.875;0.375
Torino;12.4375;6.75;6.0;4.6875;1.75;6.15625;11.59375;5.4375;9.28125;7.53125;23.6875;0.5625
Udinese;15.0;9.34375;7.5;5.75;1.75;7.34375;13.5625;6.21875;10.4375;8.15625;23.28125;0.6875
Venezia;15.875;9.625;8.375;5.15625;2.34375;7.59375;15.09375;7.5;11.625;7.4375;24.875;0.59375
